2022-07-05 22:54:30.929 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/d0a10cd5-a6a6-43f5-88eb-d17e647a5e59/CreateNewList
2022-07-05 22:54:30.930 +01:00 [DBG] [ThreadId:16] Creating new list: http://127.0.0.1:8081/ShoppingList/601dd0c0-9a19-464f-b3e6-e24771464836/CreateNewList
2022-07-05 22:54:30.929 +01:00 [DBG] [ThreadId:9] Creating new list: http://127.0.0.1:8081/ShoppingList/c4a8eaf1-ef21-4f47-8021-cd742811852e/CreateNewList
2022-07-05 22:54:31.919 +01:00 [DBG] [ThreadId:13] Creating new list: http://127.0.0.1:8081/ShoppingList/639290ad-5899-40c2-b568-b06483d42587/CreateNewList
2022-07-05 22:54:31.919 +01:00 [DBG] [ThreadId:10] Creating new list: http://127.0.0.1:8081/ShoppingList/c124e6e2-38ab-4bcf-a42d-03034d4d5c3c/CreateNewList
2022-07-05 22:54:31.919 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/5a6ff1e2-a296-46a7-aaac-e106be98120b/CreateNewList
2022-07-05 22:54:31.919 +01:00 [DBG] [ThreadId:22] Creating new list: http://127.0.0.1:8081/ShoppingList/adaa3af7-f614-4abd-96f5-25b99f0f8cdf/CreateNewList
2022-07-05 22:54:31.919 +01:00 [DBG] [ThreadId:9] Creating new list: http://127.0.0.1:8081/ShoppingList/1b19aaee-3568-479f-af44-73770e3789d6/CreateNewList
2022-07-05 22:54:32.924 +01:00 [DBG] [ThreadId:6] Creating new list: http://127.0.0.1:8081/ShoppingList/16330436-9786-40cd-9dd9-c223db60aa9e/CreateNewList
2022-07-05 22:54:32.924 +01:00 [DBG] [ThreadId:10] Creating new list: http://127.0.0.1:8081/ShoppingList/e989fec8-2a6f-414c-8e71-ea77b4eb99aa/CreateNewList
2022-07-05 22:54:32.924 +01:00 [DBG] [ThreadId:13] Creating new list: http://127.0.0.1:8081/ShoppingList/b028d69d-acc6-4bc0-b3b5-b753ed2857df/CreateNewList
2022-07-05 22:54:32.924 +01:00 [DBG] [ThreadId:22] Creating new list: http://127.0.0.1:8081/ShoppingList/b4d7a2f2-b6ea-4d18-b322-1b72a1cd7dc0/CreateNewList
2022-07-05 22:54:32.924 +01:00 [DBG] [ThreadId:19] Creating new list: http://127.0.0.1:8081/ShoppingList/6e9ef9e1-891e-44bf-9c1f-dbd351f11c2f/CreateNewList
2022-07-05 22:54:32.924 +01:00 [DBG] [ThreadId:17] Creating new list: http://127.0.0.1:8081/ShoppingList/dea769a1-f556-4b27-876c-17e3a7052000/CreateNewList
2022-07-05 22:54:32.925 +01:00 [DBG] [ThreadId:20] Creating new list: http://127.0.0.1:8081/ShoppingList/67d1d461-ad3b-4a4f-8883-d901e2dd9d5e/CreateNewList
2022-07-05 22:54:32.926 +01:00 [DBG] [ThreadId:9] Creating new list: http://127.0.0.1:8081/ShoppingList/1673a40d-f9e9-4b29-a7e7-5ff98de0f3af/CreateNewList
2022-07-05 22:54:32.926 +01:00 [DBG] [ThreadId:21] Creating new list: http://127.0.0.1:8081/ShoppingList/6014a6d9-4c2c-4df7-9763-c94f72b6acf3/CreateNewList
2022-07-05 22:54:32.926 +01:00 [DBG] [ThreadId:18] Creating new list: http://127.0.0.1:8081/ShoppingList/39dc937e-aee6-41ec-979c-4a53ff06f3fd/CreateNewList
2022-07-05 22:54:33.929 +01:00 [DBG] [ThreadId:26] Creating new list: http://127.0.0.1:8081/ShoppingList/acc1c1db-0e2f-47d5-9081-8264aa11a012/CreateNewList
2022-07-05 22:54:33.929 +01:00 [DBG] [ThreadId:20] Creating new list: http://127.0.0.1:8081/ShoppingList/c7f02517-2275-46b3-8fcd-128655e362b0/CreateNewList
2022-07-05 22:54:33.929 +01:00 [DBG] [ThreadId:21] Creating new list: http://127.0.0.1:8081/ShoppingList/c70ceba1-6694-40e7-bcd1-4a41ad8b955f/CreateNewList
2022-07-05 22:54:33.929 +01:00 [DBG] [ThreadId:18] Creating new list: http://127.0.0.1:8081/ShoppingList/64df5969-ce82-4a18-8ece-1575e9bba56e/CreateNewList
2022-07-05 22:54:33.929 +01:00 [DBG] [ThreadId:19] Creating new list: http://127.0.0.1:8081/ShoppingList/58c225f6-54f2-4430-a767-2dc27789e3c8/CreateNewList
2022-07-05 22:54:33.929 +01:00 [DBG] [ThreadId:17] Creating new list: http://127.0.0.1:8081/ShoppingList/14992f84-1c58-4aff-a01a-6486f75e24d7/CreateNewList
2022-07-05 22:54:33.929 +01:00 [DBG] [ThreadId:25] Creating new list: http://127.0.0.1:8081/ShoppingList/584c8fca-1496-44ce-b640-05ddb07971f7/CreateNewList
2022-07-05 22:54:33.929 +01:00 [DBG] [ThreadId:28] Creating new list: http://127.0.0.1:8081/ShoppingList/fa501ff9-37ab-4a65-bc9f-b9f10cff1ddb/CreateNewList
2022-07-05 22:54:33.929 +01:00 [DBG] [ThreadId:22] Creating new list: http://127.0.0.1:8081/ShoppingList/d09cd8a7-db4c-4523-b8ec-4d3c952173bf/CreateNewList
2022-07-05 22:54:33.929 +01:00 [DBG] [ThreadId:9] Creating new list: http://127.0.0.1:8081/ShoppingList/e3762cd7-0e30-42f8-8137-3dedead49bb3/CreateNewList
2022-07-05 22:54:34.934 +01:00 [DBG] [ThreadId:21] Creating new list: http://127.0.0.1:8081/ShoppingList/130bd1e6-0e6c-4105-9cbc-7a3f851f345c/CreateNewList
2022-07-05 22:54:34.934 +01:00 [DBG] [ThreadId:22] Creating new list: http://127.0.0.1:8081/ShoppingList/f76f5a67-d8de-4d3a-8871-0e40ceeb02e8/CreateNewList
2022-07-05 22:54:34.934 +01:00 [DBG] [ThreadId:20] Creating new list: http://127.0.0.1:8081/ShoppingList/92b382e1-1db5-4af9-8ee0-0fa88c76352d/CreateNewList
2022-07-05 22:54:34.934 +01:00 [DBG] [ThreadId:28] Creating new list: http://127.0.0.1:8081/ShoppingList/cb41dea0-fc5f-4c0e-ba84-1acc1c26676a/CreateNewList
2022-07-05 22:54:34.934 +01:00 [DBG] [ThreadId:16] Creating new list: http://127.0.0.1:8081/ShoppingList/94097360-e78a-4a8b-ba71-70ee39a660e2/CreateNewList
2022-07-05 22:54:34.934 +01:00 [DBG] [ThreadId:25] Creating new list: http://127.0.0.1:8081/ShoppingList/fa6416f8-275a-4a46-846b-09cf36c21ba7/CreateNewList
2022-07-05 22:54:34.934 +01:00 [DBG] [ThreadId:18] Creating new list: http://127.0.0.1:8081/ShoppingList/38e9ff6b-150c-41a9-ae5f-54554bb13ffb/CreateNewList
2022-07-05 22:54:34.934 +01:00 [DBG] [ThreadId:19] Creating new list: http://127.0.0.1:8081/ShoppingList/98ca0ab7-552a-464b-9251-76260dc6a75b/CreateNewList
2022-07-05 22:54:34.934 +01:00 [DBG] [ThreadId:26] Creating new list: http://127.0.0.1:8081/ShoppingList/949cef2f-e1bf-4f1d-9317-8448e50fa078/CreateNewList
2022-07-05 22:54:34.934 +01:00 [DBG] [ThreadId:9] Creating new list: http://127.0.0.1:8081/ShoppingList/01250cd6-f594-4b1b-89ee-cc516dc3638c/CreateNewList
2022-07-05 22:54:35.927 +01:00 [DBG] [ThreadId:9] Creating new list: http://127.0.0.1:8081/ShoppingList/a4d2d4c9-9bda-4467-a610-b244c99cfd9f/CreateNewList
2022-07-05 22:54:35.927 +01:00 [DBG] [ThreadId:10] Creating new list: http://127.0.0.1:8081/ShoppingList/20b21fa9-1406-4143-948c-94ef4418ee08/CreateNewList
2022-07-05 22:54:35.927 +01:00 [DBG] [ThreadId:16] Creating new list: http://127.0.0.1:8081/ShoppingList/bb77b8b6-bab6-4d40-bb3d-193dd7d61b8c/CreateNewList
2022-07-05 22:54:35.927 +01:00 [DBG] [ThreadId:28] Creating new list: http://127.0.0.1:8081/ShoppingList/ccc9c3a0-eadb-46ad-9389-7093db8c5585/CreateNewList
2022-07-05 22:54:35.927 +01:00 [DBG] [ThreadId:18] Creating new list: http://127.0.0.1:8081/ShoppingList/eb0e6070-8986-45af-a094-31897f55b84f/CreateNewList
2022-07-05 22:54:35.927 +01:00 [DBG] [ThreadId:25] Creating new list: http://127.0.0.1:8081/ShoppingList/441c2fdb-4aef-4e0b-bc0c-d1e301620c73/CreateNewList
2022-07-05 22:54:35.927 +01:00 [DBG] [ThreadId:26] Creating new list: http://127.0.0.1:8081/ShoppingList/ffff1d82-3384-469f-af3b-d37e55342e19/CreateNewList
2022-07-05 22:54:35.927 +01:00 [DBG] [ThreadId:21] Creating new list: http://127.0.0.1:8081/ShoppingList/1bd8bc6c-137a-473d-883b-aeb9641f7436/CreateNewList
2022-07-05 22:54:35.927 +01:00 [DBG] [ThreadId:13] Creating new list: http://127.0.0.1:8081/ShoppingList/58e916ae-56a4-4954-bddf-195919423b4e/CreateNewList
2022-07-05 22:54:35.927 +01:00 [DBG] [ThreadId:19] Creating new list: http://127.0.0.1:8081/ShoppingList/034711dd-7caf-484b-88b2-2552d916fa89/CreateNewList
2022-07-05 22:54:36.933 +01:00 [DBG] [ThreadId:9] Creating new list: http://127.0.0.1:8081/ShoppingList/8dbf1ae5-d199-4a44-aee8-c955550ef4da/CreateNewList
2022-07-05 22:54:36.933 +01:00 [DBG] [ThreadId:10] Creating new list: http://127.0.0.1:8081/ShoppingList/06dae87c-0ca0-4dc6-9ad8-3c1fe29156a2/CreateNewList
2022-07-05 22:54:36.933 +01:00 [DBG] [ThreadId:13] Creating new list: http://127.0.0.1:8081/ShoppingList/07b42b6a-3b3d-431c-9fe1-cd9c6c2d764d/CreateNewList
2022-07-05 22:54:36.933 +01:00 [DBG] [ThreadId:26] Creating new list: http://127.0.0.1:8081/ShoppingList/bd57493c-85b4-4bbf-9077-2e42d6b3de4f/CreateNewList
2022-07-05 22:54:36.933 +01:00 [DBG] [ThreadId:21] Creating new list: http://127.0.0.1:8081/ShoppingList/0ce6ed7b-37f2-4120-85e8-f4bd9de5cb2d/CreateNewList
2022-07-05 22:54:36.933 +01:00 [DBG] [ThreadId:17] Creating new list: http://127.0.0.1:8081/ShoppingList/f6821575-d977-4d90-963a-992e2c063477/CreateNewList
2022-07-05 22:54:36.933 +01:00 [DBG] [ThreadId:19] Creating new list: http://127.0.0.1:8081/ShoppingList/53b61c27-26d7-4354-85b0-6a2a81ee517e/CreateNewList
2022-07-05 22:54:36.933 +01:00 [DBG] [ThreadId:29] Creating new list: http://127.0.0.1:8081/ShoppingList/ceb900a2-8b61-4972-9c3c-2c9a3100cfe9/CreateNewList
2022-07-05 22:54:36.933 +01:00 [DBG] [ThreadId:28] Creating new list: http://127.0.0.1:8081/ShoppingList/4691afca-3447-4ac5-bf0e-16f052493d45/CreateNewList
2022-07-05 22:54:36.933 +01:00 [DBG] [ThreadId:18] Creating new list: http://127.0.0.1:8081/ShoppingList/088018a4-bb91-4a6e-989f-d6d4d510411a/CreateNewList
2022-07-05 22:54:37.928 +01:00 [DBG] [ThreadId:28] Creating new list: http://127.0.0.1:8081/ShoppingList/f979c437-f889-4c19-ab4c-d5388aeacfc4/CreateNewList
2022-07-05 22:54:37.928 +01:00 [DBG] [ThreadId:17] Creating new list: http://127.0.0.1:8081/ShoppingList/023aa845-9f45-4fe2-b3b2-3b8a6afb2482/CreateNewList
2022-07-05 22:54:37.928 +01:00 [DBG] [ThreadId:21] Creating new list: http://127.0.0.1:8081/ShoppingList/cab818ba-ecb9-4392-a09c-c79aaedc3170/CreateNewList
2022-07-05 22:54:37.928 +01:00 [DBG] [ThreadId:10] Creating new list: http://127.0.0.1:8081/ShoppingList/b3165c68-51da-4020-81ee-4409618a6990/CreateNewList
2022-07-05 22:54:37.928 +01:00 [DBG] [ThreadId:17] Creating new list: http://127.0.0.1:8081/ShoppingList/cbe838fc-5424-41cf-aad8-eacaa02c045d/CreateNewList
2022-07-05 22:54:37.928 +01:00 [DBG] [ThreadId:16] Creating new list: http://127.0.0.1:8081/ShoppingList/b1841065-2359-43d9-8543-b8b75c429aea/CreateNewList
2022-07-05 22:54:37.928 +01:00 [DBG] [ThreadId:21] Creating new list: http://127.0.0.1:8081/ShoppingList/a8762c86-4139-47ab-bdf9-e9692610ae22/CreateNewList
2022-07-05 22:54:37.928 +01:00 [DBG] [ThreadId:29] Creating new list: http://127.0.0.1:8081/ShoppingList/8e01554d-a915-42fa-80ef-5151b95906e5/CreateNewList
2022-07-05 22:54:37.928 +01:00 [DBG] [ThreadId:19] Creating new list: http://127.0.0.1:8081/ShoppingList/c034db04-d071-4daa-b2de-1e4b89f17e68/CreateNewList
2022-07-05 22:54:37.928 +01:00 [DBG] [ThreadId:25] Creating new list: http://127.0.0.1:8081/ShoppingList/d6de2f09-4780-4106-b54a-2cd1af1187c5/CreateNewList
2022-07-05 22:54:37.928 +01:00 [DBG] [ThreadId:22] Creating new list: http://127.0.0.1:8081/ShoppingList/df4a1669-dba1-4aba-b650-0185c3810d32/CreateNewList
