2022-07-05 22:50:00.808 +01:00 [DBG] [ThreadId:18] Creating new list: http://127.0.0.1:8081/ShoppingList/c9c1303e-4d6f-486f-aa6c-950c3b38666a/CreateNewList
2022-07-05 22:50:00.808 +01:00 [DBG] [ThreadId:17] Creating new list: http://127.0.0.1:8081/ShoppingList/c1cae9c4-e6a9-4ebe-8f09-405f1d08dbfe/CreateNewList
2022-07-05 22:50:01.810 +01:00 [DBG] [ThreadId:18] Creating new list: http://127.0.0.1:8081/ShoppingList/e323c513-983d-4b09-b15e-a45415dd8260/CreateNewList
2022-07-05 22:50:01.810 +01:00 [DBG] [ThreadId:13] Creating new list: http://127.0.0.1:8081/ShoppingList/284c147d-e584-41f3-94b8-8293c8010baa/CreateNewList
2022-07-05 22:50:01.810 +01:00 [DBG] [ThreadId:20] Creating new list: http://127.0.0.1:8081/ShoppingList/df646f7c-c148-4976-8366-12643093f6f7/CreateNewList
2022-07-05 22:50:01.810 +01:00 [DBG] [ThreadId:17] Creating new list: http://127.0.0.1:8081/ShoppingList/38a5cfd7-fdb1-48c0-93de-9ae3878e04ed/CreateNewList
2022-07-05 22:50:01.810 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/2516cfba-0706-4d0f-bddc-a01bec638d60/CreateNewList
2022-07-05 22:50:01.810 +01:00 [DBG] [ThreadId:26] Creating new list: http://127.0.0.1:8081/ShoppingList/ce039002-e95c-4289-b5f8-31a6530992ea/CreateNewList
2022-07-05 22:50:01.810 +01:00 [DBG] [ThreadId:16] Creating new list: http://127.0.0.1:8081/ShoppingList/96ea05d8-1f5d-4481-9fda-fdf54dc59f7a/CreateNewList
2022-07-05 22:50:01.810 +01:00 [DBG] [ThreadId:24] Creating new list: http://127.0.0.1:8081/ShoppingList/1e0d06d6-cb4b-4fde-8166-1fe193906b37/CreateNewList
2022-07-05 22:50:01.810 +01:00 [DBG] [ThreadId:19] Creating new list: http://127.0.0.1:8081/ShoppingList/ed3b5cef-c329-43a0-a034-82d151477ac8/CreateNewList
2022-07-05 22:50:01.810 +01:00 [DBG] [ThreadId:23] Creating new list: http://127.0.0.1:8081/ShoppingList/0954989c-8f33-4587-b4cd-fd614119632a/CreateNewList
2022-07-05 22:50:02.800 +01:00 [DBG] [ThreadId:17] Creating new list: http://127.0.0.1:8081/ShoppingList/fb2c3390-2f55-4b46-b68e-401a0795c4d2/CreateNewList
2022-07-05 22:50:02.800 +01:00 [DBG] [ThreadId:24] Creating new list: http://127.0.0.1:8081/ShoppingList/1b8af6b0-7f20-4ede-81be-f6bf5ad28fba/CreateNewList
2022-07-05 22:50:02.800 +01:00 [DBG] [ThreadId:19] Creating new list: http://127.0.0.1:8081/ShoppingList/2d1d9f1b-c315-4262-b269-e7bbafe96923/CreateNewList
2022-07-05 22:50:02.800 +01:00 [DBG] [ThreadId:27] Creating new list: http://127.0.0.1:8081/ShoppingList/f8dba158-4a8e-454f-bc7a-3c584521d62f/CreateNewList
2022-07-05 22:50:02.800 +01:00 [DBG] [ThreadId:7] Creating new list: http://127.0.0.1:8081/ShoppingList/c5639a81-a03e-4af9-b128-3aa086870a10/CreateNewList
2022-07-05 22:50:02.800 +01:00 [DBG] [ThreadId:23] Creating new list: http://127.0.0.1:8081/ShoppingList/a5e84237-3d2d-44c5-a070-6eff7e438228/CreateNewList
2022-07-05 22:50:02.800 +01:00 [DBG] [ThreadId:26] Creating new list: http://127.0.0.1:8081/ShoppingList/17af6aca-366a-4e92-be6d-1b1ce448f37d/CreateNewList
2022-07-05 22:50:02.800 +01:00 [DBG] [ThreadId:20] Creating new list: http://127.0.0.1:8081/ShoppingList/a38468d9-51c6-4efa-ad5a-15e314f5f23f/CreateNewList
2022-07-05 22:50:02.800 +01:00 [DBG] [ThreadId:13] Creating new list: http://127.0.0.1:8081/ShoppingList/9000d6d5-a6ea-4cc8-84ec-5f4dc1a37e3c/CreateNewList
