2022-07-05 22:45:50.305 +01:00 [DBG] [ThreadId:11] Creating new list: http://127.0.0.1:8081/ShoppingList/2c211095-3f4d-4e74-9359-82cf6bcac67d/CreateNewList
2022-07-05 22:45:50.305 +01:00 [DBG] [ThreadId:19] Creating new list: http://127.0.0.1:8081/ShoppingList/25f397f0-6249-4b0b-90df-ba02f002f75e/CreateNewList
2022-07-05 22:45:50.306 +01:00 [DBG] [ThreadId:21] Creating new list: http://127.0.0.1:8081/ShoppingList/e4c614c3-1312-43dc-92d7-cbc4bdd8755d/CreateNewList
2022-07-05 22:45:51.302 +01:00 [DBG] [ThreadId:17] Creating new list: http://127.0.0.1:8081/ShoppingList/8bb925aa-85c0-47dd-ae73-2fa68963267c/CreateNewList
2022-07-05 22:45:51.302 +01:00 [DBG] [ThreadId:9] Creating new list: http://127.0.0.1:8081/ShoppingList/0a5f3d72-e0cd-4ecc-8334-efec2bfc9348/CreateNewList
2022-07-05 22:45:51.302 +01:00 [DBG] [ThreadId:11] Creating new list: http://127.0.0.1:8081/ShoppingList/a79cecd0-9bc9-498a-8321-340521755a15/CreateNewList
2022-07-05 22:45:51.302 +01:00 [DBG] [ThreadId:19] Creating new list: http://127.0.0.1:8081/ShoppingList/40aeedc6-3e70-46a0-9531-2ce9b8e0d06a/CreateNewList
2022-07-05 22:45:51.302 +01:00 [DBG] [ThreadId:18] Creating new list: http://127.0.0.1:8081/ShoppingList/33bbb161-506b-4411-99cc-84055551da0f/CreateNewList
2022-07-05 22:45:52.310 +01:00 [DBG] [ThreadId:18] Creating new list: http://127.0.0.1:8081/ShoppingList/f0c10ef2-a533-44ed-8e55-5c680a3fc7b7/CreateNewList
2022-07-05 22:45:52.310 +01:00 [DBG] [ThreadId:19] Creating new list: http://127.0.0.1:8081/ShoppingList/3e6ae294-eb31-42a8-a077-2c6f2cc8b086/CreateNewList
2022-07-05 22:45:52.310 +01:00 [DBG] [ThreadId:17] Creating new list: http://127.0.0.1:8081/ShoppingList/6a18e139-4d04-4e19-a6c6-a0acf88fc739/CreateNewList
2022-07-05 22:45:52.310 +01:00 [DBG] [ThreadId:23] Creating new list: http://127.0.0.1:8081/ShoppingList/ee277e67-814c-44c9-8bac-3ff02e636988/CreateNewList
2022-07-05 22:45:52.310 +01:00 [DBG] [ThreadId:21] Creating new list: http://127.0.0.1:8081/ShoppingList/ad8f28c6-6612-409b-a1e1-a5330c7a0676/CreateNewList
2022-07-05 22:45:52.310 +01:00 [DBG] [ThreadId:10] Creating new list: http://127.0.0.1:8081/ShoppingList/e2319783-8515-4382-9b76-83958bc3cfe0/CreateNewList
2022-07-05 22:45:52.310 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/6efb4ce4-7dc3-46fc-8326-cd6f968269ec/CreateNewList
2022-07-05 22:45:52.311 +01:00 [DBG] [ThreadId:11] Creating new list: http://127.0.0.1:8081/ShoppingList/4b8fd89d-afce-4187-835e-5e18f415f215/CreateNewList
2022-07-05 22:45:52.311 +01:00 [DBG] [ThreadId:7] Creating new list: http://127.0.0.1:8081/ShoppingList/b1f35ff3-4d97-4015-a21f-aac8947bb70d/CreateNewList
2022-07-05 22:45:52.311 +01:00 [DBG] [ThreadId:6] Creating new list: http://127.0.0.1:8081/ShoppingList/f8d17fc8-3359-49aa-8748-c6df6a31de4b/CreateNewList
2022-07-05 22:45:53.303 +01:00 [DBG] [ThreadId:23] Creating new list: http://127.0.0.1:8081/ShoppingList/a70df161-829f-4754-a2b7-dcd30aff416d/CreateNewList
2022-07-05 22:45:53.303 +01:00 [DBG] [ThreadId:25] Creating new list: http://127.0.0.1:8081/ShoppingList/dfac68cb-b2aa-4e13-b8fd-88c7b42a3320/CreateNewList
2022-07-05 22:45:53.303 +01:00 [DBG] [ThreadId:10] Creating new list: http://127.0.0.1:8081/ShoppingList/3f816bb1-337a-429d-98aa-7520382bcdd0/CreateNewList
2022-07-05 22:45:53.303 +01:00 [DBG] [ThreadId:27] Creating new list: http://127.0.0.1:8081/ShoppingList/6b436660-6f66-4b41-9f86-36f23beeb5c9/CreateNewList
2022-07-05 22:45:53.303 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/e80ec9ea-313c-4e42-adb3-7d04df9d3193/CreateNewList
2022-07-05 22:45:53.303 +01:00 [DBG] [ThreadId:19] Creating new list: http://127.0.0.1:8081/ShoppingList/e9ef5fdc-32da-4f89-a3e4-f0d0c706a4e4/CreateNewList
2022-07-05 22:45:53.303 +01:00 [DBG] [ThreadId:6] Creating new list: http://127.0.0.1:8081/ShoppingList/00b1f5c4-d219-410b-b2c3-ef5d10262c60/CreateNewList
2022-07-05 22:45:53.304 +01:00 [DBG] [ThreadId:11] Creating new list: http://127.0.0.1:8081/ShoppingList/435acec6-6ec2-4941-b1a8-6869523505fa/CreateNewList
2022-07-05 22:45:53.304 +01:00 [DBG] [ThreadId:7] Creating new list: http://127.0.0.1:8081/ShoppingList/4d4200f2-1d99-4162-aadd-f681db352154/CreateNewList
2022-07-05 22:45:53.304 +01:00 [DBG] [ThreadId:26] Creating new list: http://127.0.0.1:8081/ShoppingList/3b2e4e31-3656-42b5-8a7e-41a580e27e97/CreateNewList
2022-07-05 22:45:54.314 +01:00 [DBG] [ThreadId:23] Creating new list: http://127.0.0.1:8081/ShoppingList/d1e6d458-7913-499a-8e36-ee8f95e5a20c/CreateNewList
2022-07-05 22:45:54.314 +01:00 [DBG] [ThreadId:27] Creating new list: http://127.0.0.1:8081/ShoppingList/0d79895d-ed00-43d3-819a-dd3d8b329c3b/CreateNewList
2022-07-05 22:45:54.314 +01:00 [DBG] [ThreadId:6] Creating new list: http://127.0.0.1:8081/ShoppingList/0a010808-d52f-454a-8b54-93e2ea7c029b/CreateNewList
2022-07-05 22:45:54.314 +01:00 [DBG] [ThreadId:19] Creating new list: http://127.0.0.1:8081/ShoppingList/daf657b0-075a-44de-8672-45c418808d54/CreateNewList
2022-07-05 22:45:54.314 +01:00 [DBG] [ThreadId:17] Creating new list: http://127.0.0.1:8081/ShoppingList/e03f92e6-8a80-4265-8487-1bdbb14dbda9/CreateNewList
2022-07-05 22:45:54.314 +01:00 [DBG] [ThreadId:26] Creating new list: http://127.0.0.1:8081/ShoppingList/a5c92db8-626a-4d58-85da-5d1cf5bc5ca0/CreateNewList
2022-07-05 22:45:54.314 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/af67004e-4832-4f37-9aa2-a24375e241b4/CreateNewList
2022-07-05 22:45:54.314 +01:00 [DBG] [ThreadId:11] Creating new list: http://127.0.0.1:8081/ShoppingList/92b51573-7c6d-4101-93a1-4783f90b51d1/CreateNewList
2022-07-05 22:45:54.314 +01:00 [DBG] [ThreadId:22] Creating new list: http://127.0.0.1:8081/ShoppingList/4ce1ad56-e30d-4b92-ab48-bef1c8bef148/CreateNewList
2022-07-05 22:45:54.328 +01:00 [DBG] [ThreadId:21] Creating new list: http://127.0.0.1:8081/ShoppingList/1d4470b1-6e7b-4a1e-a337-761daa19627d/CreateNewList
2022-07-05 22:45:55.304 +01:00 [DBG] [ThreadId:21] Creating new list: http://127.0.0.1:8081/ShoppingList/a16b2ac8-12db-41a3-9292-7be595762efa/CreateNewList
2022-07-05 22:45:55.304 +01:00 [DBG] [ThreadId:19] Creating new list: http://127.0.0.1:8081/ShoppingList/1c79016e-fd9d-4b8a-9f92-a89bfb30b94d/CreateNewList
2022-07-05 22:45:55.304 +01:00 [DBG] [ThreadId:26] Creating new list: http://127.0.0.1:8081/ShoppingList/ce0eba83-55c8-4fe0-90dc-2815a337f114/CreateNewList
2022-07-05 22:45:55.304 +01:00 [DBG] [ThreadId:11] Creating new list: http://127.0.0.1:8081/ShoppingList/ab59bcb5-4f93-47cd-8a72-9a45ba863cdd/CreateNewList
2022-07-05 22:45:55.304 +01:00 [DBG] [ThreadId:22] Creating new list: http://127.0.0.1:8081/ShoppingList/246c5b88-4867-422c-9470-e255b6541880/CreateNewList
2022-07-05 22:45:55.304 +01:00 [DBG] [ThreadId:6] Creating new list: http://127.0.0.1:8081/ShoppingList/ac008da4-089e-4c3d-9228-47dcf833fd4c/CreateNewList
2022-07-05 22:45:55.304 +01:00 [DBG] [ThreadId:7] Creating new list: http://127.0.0.1:8081/ShoppingList/f9a12eb4-0578-4a44-9911-20768a21b57b/CreateNewList
2022-07-05 22:45:55.304 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/56baa49c-2af6-4dd5-b936-4b1925fcd0ce/CreateNewList
2022-07-05 22:45:55.304 +01:00 [DBG] [ThreadId:10] Creating new list: http://127.0.0.1:8081/ShoppingList/35e993ad-9a60-40dc-9f41-8a9519de1e50/CreateNewList
2022-07-05 22:45:55.304 +01:00 [DBG] [ThreadId:20] Creating new list: http://127.0.0.1:8081/ShoppingList/cc8478f5-a9d8-4117-86ec-da07f7eedc59/CreateNewList
2022-07-05 22:45:56.316 +01:00 [DBG] [ThreadId:11] Creating new list: http://127.0.0.1:8081/ShoppingList/c23b9f35-c94e-42a8-86ab-d2659544af8a/CreateNewList
2022-07-05 22:45:56.316 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/a2a6c688-5da2-4a51-8637-8adb8f14c201/CreateNewList
2022-07-05 22:45:56.316 +01:00 [DBG] [ThreadId:6] Creating new list: http://127.0.0.1:8081/ShoppingList/b69afd6a-6642-4373-b7e1-6936177908fb/CreateNewList
2022-07-05 22:45:56.316 +01:00 [DBG] [ThreadId:7] Creating new list: http://127.0.0.1:8081/ShoppingList/aa0ebafc-7c43-4796-ac12-a9a084639864/CreateNewList
2022-07-05 22:45:56.317 +01:00 [DBG] [ThreadId:11] Creating new list: http://127.0.0.1:8081/ShoppingList/cda6b642-affb-44c2-ac7c-7b22eb72df4c/CreateNewList
2022-07-05 22:45:56.316 +01:00 [DBG] [ThreadId:19] Creating new list: http://127.0.0.1:8081/ShoppingList/e7889c7e-3c57-46af-8353-c9867cf4b8f9/CreateNewList
2022-07-05 22:45:56.317 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/a2759f9e-29e5-4cba-b9ce-b088cfd3c6c8/CreateNewList
2022-07-05 22:45:56.316 +01:00 [DBG] [ThreadId:21] Creating new list: http://127.0.0.1:8081/ShoppingList/c1768ffe-9293-43f5-be7c-ef488ef3ab13/CreateNewList
2022-07-05 22:45:56.316 +01:00 [DBG] [ThreadId:17] Creating new list: http://127.0.0.1:8081/ShoppingList/514f1114-8dc3-42f8-ade6-bf179fe340a8/CreateNewList
2022-07-05 22:45:56.316 +01:00 [DBG] [ThreadId:10] Creating new list: http://127.0.0.1:8081/ShoppingList/82e55c5a-315a-439c-b55b-e04a42c18b32/CreateNewList
